origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	age	destination_countryLabel	dist	eu
Rotterdam	Netherlands	51.930833333333	4.4791666666667	631155	Constanța	44.173333333333	28.638333333333	283872		Romania	1980	EU
Amsterdam	Netherlands	52.383333333333	4.9	825080	Riga	56.9475	24.106944444444	698529		Latvia	1330	EU
Zwijndrecht	Netherlands	51.816666666667	4.65	44454	Norderstedt	53.706388888889	10.010277777778	76712		Germany	417	EU
Groningen	Netherlands	53.216666666667	6.55	200952	Tallinn	59.437222222222	24.745	413782		Estonia	1311	EU
Geldrop-Mierlo	Netherlands	51.4336	5.5881	38886	Dobříš	49.781215974594	14.16722087166	8995		Czech Republic	632	EU
Heemskerk	Netherlands	52.516666666667	4.6666666666667	39303	Klatovy	49.395625338265	13.29508891337	22378		Czech Republic	696	EU
Middelburg	Netherlands	51.499722222222	3.6136111111111	47939	Simeria	45.85	23.01	12556		Romania	1550	EU
Mook en Middelaar	Netherlands	51.7525	5.8817	7757	Přibyslav	49.576885241921	15.738585389384	4022		Czech Republic	735	EU
Wijk bij Duurstede	Netherlands	51.9761	5.3369	23374	Jičín	50.437279002171	15.351713997933	16448		Czech Republic	718	EU
Groningen	Netherlands	53.216666666667	6.55	200952	Oldenburg	53.143888888889	8.2138888888889	161438		Germany	111	EU
Roermond	Netherlands	51.194166666667	5.9875	57308	Mönchengladbach	51.2	6.4333333333333	259996		Germany	31	EU
Amsterdam	Netherlands	52.366666666667	4.8833333333333	834119	Riga	56.9475	24.106944444444	698529		Latvia	1332	EU
Uden	Netherlands	51.666666666667	5.6166666666667	41248	Lippstadt	51.666666666667	8.35	67233		Germany	188	EU
Joure	Netherlands	52.9661	5.7997		Mediaș	46.163888888889	24.350833333333	47204		Romania	1530	EU
Schiedam	Netherlands	51.916666666667	4.4	77051	Esslingen am Neckar	48.740555555556	9.3108333333333	90378		Germany	496	EU
's-Hertogenbosch	Netherlands	51.7	5.3166666666667	143782	Focșani	45.699722222222	27.179722222222	79315		Romania	1729	EU
Weert	Netherlands	51.25	5.7	49097	Rakovník	50.103792787995	13.733472751214	15975		Czech Republic	580	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Tryavna	42.866666666667	25.491944444444	9831		Bulgaria	1737	EU
Naarden	Netherlands	52.3	5.15		Uherský Brod	49.025133430958	17.647153295745	16590		Czech Republic	952	EU
Arnhem	Netherlands	51.983333333333	5.9166666666667	153864	Gera	50.880555555556	12.083333333333	96011		Germany	445	EU
Rotterdam	Netherlands	51.930833333333	4.4791666666667	631155	Cologne	50.942222222222	6.9577777777778	1081701		Germany	204	EU
Almere	Netherlands	52.375833333333	5.2255555555556	198315	České Budějovice	48.974722222222	14.474722222222	93470		Czech Republic	753	EU
Den Helder	Netherlands	52.958333333333	4.7588888888889	56305	Lüdenscheid	51.216666666667	7.6333333333333			Germany	276	EU
Putten	Netherlands	52.266666666667	5.6166666666667	24489	Câmpia Turzii	46.544444444444	23.879166666667	22223		Romania	1461	EU
Borne	Netherlands	52.3	6.75	22345	Rheine	52.283333333333	7.4333333333333			Germany	47	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Zvolen	48.583055555556	19.133055555556	43100		Slovakia	994	EU
Almere	Netherlands	52.375833333333	5.2255555555556	198315	Haapsalu	58.946944444444	23.536944444444	10160		Estonia	1354	EU
Zwolle	Netherlands	52.516666666667	6.1	124914	Lünen	51.616666666667	7.5166666666667	85867		Germany	139	EU
Duiven	Netherlands	51.9472	6.0211	25437	Calafat	43.985833333333	22.9575	17336		Romania	1535	EU
Gendringen	Netherlands	51.866666666667	6.3833333333333		Kamnik	46.225833333333	14.611944444444			Slovenia	867	EU
Rotterdam	Netherlands	51.930833333333	4.4791666666667	631155	Burgas	42.5	27.466666666667	206371		Bulgaria	2015	EU
Amsterdam	Netherlands	52.366666666667	4.8833333333333	834119	Prague	50.088611111111	14.421388888889	1280508		Czech Republic	710	EU
Rijswijk	Netherlands	52.033333333333	4.3166666666667	49322	Beroun	49.963908175611	14.072061165906	19307		Czech Republic	720	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Agros	34.916666666667	33.016666666667	806		Cyprus	2815	EU
Eindhoven	Netherlands	51.434444444444	5.4841666666667	221402	Iași	47.162222222222	27.588888888889	290422		Romania	1664	EU
Putten	Netherlands	52.266666666667	5.6166666666667	24489	Turda	46.566666666667	23.783333333333	47744		Romania	1454	EU
Utrecht	Netherlands	52.088888888889	5.1155555555556	343779	Brno	49.195277777778	16.608333333333	377973		Czech Republic	871	EU
Alkmaar	Netherlands	52.616666666667	4.75	107822	Darmstadt	49.866666666667	8.65	153166		Germany	409	EU
Hengelo	Netherlands	52.265555555556	6.7930555555556	81074	Plzeň	49.741388888889	13.3825	170548		Czech Republic	539	EU
Velsen	Netherlands	52.466666666667	4.6166666666667	67470	Bergisch Gladbach	50.991666666667	7.1366666666667	109697		Germany	239	EU
Veenendaal	Netherlands	52.016666666667	5.55	63812	Olomouc	49.596111111111	17.260277777778	100378		Czech Republic	865	EU
Deventer	Netherlands	52.25	6.15	99166	Arnsberg	51.396666666667	8.0644444444444	74617		Germany	162	EU
Maastricht	Netherlands	50.866666666667	5.6833333333333	122418	Koblenz	50.359722222222	7.5977777777778	112586		Germany	146	EU
Haarlem	Netherlands	52.380277777778	4.6405555555556	159134	Osnabrück	52.278888888889	8.0430555555556	156315		Germany	231	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Sigulda	57.153888888889	24.854444444444	11821		Latvia	1422	EU
Harderwijk	Netherlands	52.350555555556	5.6172222222222	45973	Znojmo	48.855540667876	16.048796054219	33823		Czech Republic	831	EU
Utrechtse Heuvelrug	Netherlands	52.0422	5.4506	48522	Victoria	45.6465638	24.7058523	7386		Romania	1572	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Siret	47.95	26.06	7976		Romania	1500	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Škofja Loka	46.166666666667	14.3			Slovenia	819	EU
Hengelo	Netherlands	52.265555555556	6.7930555555556	81074	Ogre	56.816944444444	24.604722222222	25380		Latvia	1251	EU
Roermond	Netherlands	51.194166666667	5.9875	57308	Nepomuk	49.486259587175	13.582292906584	3716		Czech Republic	571	EU
Sliedrecht	Netherlands	51.816666666667	4.7666666666667	24959	Orăștie	45.840277777778	23.199444444444	18227		Romania	1498	EU
Amsterdam	Netherlands	52.383333333333	4.9	825080	Nicosia	35.166667	33.35	55014		Cyprus	2947	EU
Tynaarlo	Netherlands	53.0667	6.5667	32796	Pitești	44.866666666667	24.883333333333	155383		Romania	1611	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Sušice	49.231161465796	13.520207848015	11127		Czech Republic	584	EU
Almelo	Netherlands	52.366666666667	6.6666666666667	72459	Iserlohn	51.383333333333	7.6666666666667	93119		Germany	129	EU
Leiden	Netherlands	52.154444444444	4.4947222222222	121163	Krefeld	51.333333333333	6.5666666666667	225144		Germany	169	EU
Katwijk	Netherlands	52.2008	4.4153	64196	Siegen	50.875555555556	8.0166666666667	102355		Germany	289	EU
Deventer	Netherlands	52.25	6.15	99166	Sibiu	45.8	24.15	147245		Romania	1490	EU
's-Hertogenbosch	Netherlands	51.7	5.3166666666667	143782	Trier	49.756666666667	6.6413888888889	114914		Germany	235	EU
Delft	Netherlands	52.011944444444	4.3594444444444	100011	Castrop-Rauxel	51.55	7.3166666666667	74220		Germany	210	EU
Amsterdam	Netherlands	52.383333333333	4.9	825080	Varna	43.207777777778	27.916944444444	348058		Bulgaria	1986	EU
Rotterdam	Netherlands	51.930833333333	4.4791666666667	631155	Bratislava	48.144722222222	17.112777777778	625167		Slovakia	994	EU
Waalwijk	Netherlands	51.683333333333	5.0666666666667	47022	Unna	51.534722222222	7.6888888888889			Germany	182	EU
Vianen	Netherlands	52	5.1006	19523	Reghin	46.775833333333	24.708333333333	33281		Romania	1527	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Türi	58.809444444444	25.429166666667	5257		Estonia	1528	EU
Hoorn	Netherlands	52.6425	5.0594444444444	72200	Příbram	49.68996461067	14.010474512485	32897		Czech Republic	704	EU
Emmen	Netherlands	52.783333333333	6.9	107620	Georgsmarienhütte	52.2	8.0666666666667	31543		Germany	102	EU
Woerden	Netherlands	52.085833333333	4.8833333333333	51156	Steinhagen	52.005	8.4147222222222			Germany	242	EU
Lopik	Netherlands	51.9722	4.9464	14163	Lezoux	45.8275	3.38	5727		France	693	EU
Gouda	Netherlands	52.016666666667	4.7166666666667	71449	Finsterwalde	51.633055555556	13.716666666667	16548		Germany	620	EU
Overbetuwe	Netherlands	51.9167	5.85	47003	Usingen	50.334027777778	8.5372222222222			Germany	257	EU
Amstelveen	Netherlands	52.3	4.8333333333333	88659	Woking	51.316111111111	-0.56111111111111			United Kingdom	387	EU
Rotterdam	Netherlands	51.930833333333	4.4791666666667	631155	Liverpool	53.416666666667	-3	466415		United Kingdom	530	EU
Groningen	Netherlands	53.216666666667	6.55	200952	Newcastle upon Tyne	54.977777777778	-1.6133333333333	282442		United Kingdom	567	EU
Lopik	Netherlands	51.9722	4.9464	14163	Grebenstein	51.45	9.4166666666667	5797		Germany	313	EU
Velsen	Netherlands	52.466666666667	4.6166666666667	67470	Bourgoin-Jallieu	45.590833333333	5.2791666666667	27163		France	766	EU
Kampen	Netherlands	52.555	5.9197222222222	52398	Meinerzhagen	51.116666666667	7.6333333333333	21982		Germany	199	EU
Heerde	Netherlands	52.4	6.0667	18556	Balve	51.333333333333	7.8666666666667			Germany	171	EU
Ee	Netherlands	53.33	6.1		Llanfairpwllgwyngyll	53.223333	-4.199444	3107		United Kingdom	684	EU
Assen	Netherlands	53	6.55	67329	Bad Bentheim	52.303055555556	7.1597222222222	15068		Germany	88	EU
Haaksbergen	Netherlands	52.1547	6.7419	24329	Ahaus	52.066666666667	7	39277		Germany	20	EU
Gendt	Netherlands	51.8769	5.9725		Kalkar	51.738888888889	6.2925			Germany	27	EU
Apeldoorn	Netherlands	52.2167	5.95	159041	Charlottenburg-Wilmersdorf	52.5	13.283333333333	334351		Germany	499	EU
Loon op Zand	Netherlands	51.6275	5.0758	22928	Battenberg (Eder)	51.016666666667	8.65	5379		Germany	257	EU
Kessel	Netherlands	51.2919	6.0533		Grevenbroich	51.088333333333	6.5875			Germany	44	EU
Delft	Netherlands	52.011944444444	4.3594444444444	100011	Freiberg	50.911944444444	13.342777777778	41641		Germany	634	EU
Rozenburg	Netherlands	51.9058	4.2486		Östringen	49.219444444444	8.7108333333333	12627		Germany	434	EU
Echt-Susteren	Netherlands	51.0833	5.8667	31937	Wegberg	51.133333333333	6.2666666666667	27668		Germany	28	EU
Soest	Netherlands	52.183333333333	5.2833333333333	45499	Soest	51.571111111111	8.1091666666667			Germany	206	EU
Almere	Netherlands	52.375833333333	5.2255555555556	198315	Milton Keynes	52.033333333333	-0.76666666666667			United Kingdom	410	EU
Alphen-Chaam	Netherlands	51.4992	4.8722	9918	Cham	49.216666666667	12.65	16892		Germany	607	EU
Haarlem	Netherlands	52.380277777778	4.6405555555556	159134	Angers	47.472777777778	-0.55555555555556	150125		France	660	EU
IJsselmuiden	Netherlands	52.5647	5.9275		Meinerzhagen	51.116666666667	7.6333333333333	21982		Germany	199	EU
Dalfsen	Netherlands	52.503055555556	6.2591666666667	27921	Hörstel	52.297222222222	7.5861111111111			Germany	93	EU
Ee	Netherlands	53.33	6.1		Y	49.803333333333	2.9919444444444	94		France	447	EU
Amstelveen	Netherlands	52.3	4.8333333333333	88659	Tempelhof-Schöneberg	52.466666666667	13.383333333333			Germany	580	EU
Rijssen-Holten	Netherlands	52.3	6.5167	37873	Steinfurt	52.1475	7.3441666666667	33225		Germany	59	EU
Boxmeer	Netherlands	51.6483	5.9444	28467	Sigmaringen	48.086666666667	9.2163888888889	15756		Germany	460	EU
Amsterdam	Netherlands	52.366666666667	4.8833333333333	834119	London	51.507222222222	-0.1275	8416535		United Kingdom	356	EU
Sittard-Geleen	Netherlands	51	5.85	93332	Böblingen	48.683333	9	47385		Germany	343	EU
Hulst	Netherlands	51.3158	4.0539	27373	Michelstadt	49.678611111111	9.0041666666667	16642		Germany	395	EU
Landsmeer	Netherlands	52.4293	4.9136	10980	Châtenay-Malabry	48.765277777778	2.2780555555556	32623		France	448	EU
Zaandam	Netherlands	52.441666666667	4.8422222222222		Boulogne-Billancourt	48.835277777778	2.2413888888889	116794		France	441	EU
Zierikzee	Netherlands	51.6497	3.9164	11117	Saint-Hilaire-du-Harcouët	48.577777777778	-1.0919444444444	3971		France	494	EU
Hengelo	Netherlands	52.265555555556	6.7930555555556	81074	Emsdetten	52.172777777778	7.5344444444444			Germany	52	EU
Kampen	Netherlands	52.555	5.9197222222222	52398	Soest	51.571111111111	8.1091666666667			Germany	185	EU
Eindhoven	Netherlands	51.434444444444	5.4841666666667	221402	Bayeux	49.278611111111	-0.70388888888889	13888		France	500	EU
Vlissingen	Netherlands	51.45	3.5833333333333	44417	Deal	51.2226	1.4006			United Kingdom	154	EU
Oldenzaal	Netherlands	52.3125	6.9291666666667	32106	Rheda-Wiedenbrück	51.841666666667	8.3	48080		Germany	107	EU
Sittard-Geleen	Netherlands	51	5.85	93332	Pontoise	49.050833333333	2.1008333333333	29766		France	344	EU
Appingedam	Netherlands	53.316666666667	6.8666666666667	12007	Aurich	53.471388888889	7.4836111111111	41489		Germany	44	EU
Schiedam	Netherlands	51.916666666667	4.4	77051	Vienne	45.525555555556	4.8747222222222	29325		France	711	EU
Dinxperlo	Netherlands	51.866666666667	6.4833333333333		Neuenrade	51.283888888889	7.78			Germany	111	EU
Heemstede	Netherlands	52.3528	4.62	26786	Royal Leamington Spa	52.292	-1.537			United Kingdom	418	EU
Wierden	Netherlands	52.35	6.5833	23954	Lampertheim	49.594166666667	8.4670833333333	31851		Germany	334	EU
Valkenswaard	Netherlands	51.35	5.4592	30336	Salvaterra de Magos	39.016666666667	-8.7833333333333			Portugal	1762	EU
Arnhem	Netherlands	51.983333333333	5.9166666666667	153864	Croydon	51.3727	-0.1099			United Kingdom	421	EU
Middelburg	Netherlands	51.499722222222	3.6136111111111	47939	Folkestone	51.081388888889	1.1647222222222			United Kingdom	177	EU
Kerkrade	Netherlands	50.866666666667	6.0666666666667	46031	Herzogenrath	50.866666666667	6.1	46398		Germany	2	EU
Beek	Netherlands	50.9394	5.7961	16065	Gundelfingen an der Donau	48.55	10.366666666667	6492		Germany	422	EU
De Bilt	Netherlands	52.1119	5.1825	42378	Coesfeld	51.945833333333	7.1675	36116		Germany	137	EU
Alkmaar	Netherlands	52.616666666667	4.75	107822	Bath	51.381389	-2.358611	88859		United Kingdom	505	EU
Loppersum	Netherlands	53.3167	6.7333	10038	Hohenhameln	52.26	10.066388888889			Germany	253	EU
