origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	age	destination_countryLabel	dist	eu
Ljubljana	Slovenia	46.05	14.516666666667	287000	Vilnius	54.683333333333	25.283333333333	532762		Lithuania	1224	EU
Kanal ob Soči	Slovenia	46.087958	13.634711		Sonnino	41.416666666667	13.233333333333			Italy	520	EU
Ribnica	Slovenia	45.738833333333	14.730769444444		Ancona	43.616666666667	13.516666666667	100721		Italy	255	EU
Ilirska Bistrica	Slovenia	45.566666666667	14.233333333333		Duino-Aurisina	45.733333333333	13.75			Italy	42	EU
Ljubljana	Slovenia	46.05	14.516666666667	287000	Trieste	45.636111111111	13.804166666667	204420		Italy	72	EU
Piran	Slovenia	45.526111111111	13.570277777778	17491	Keszthely	46.769444444444	17.264722222222	20116		Hungary	316	EU
Piran	Slovenia	45.526111111111	13.570277777778	17491	Castel Goffredo	45.297777777778	10.475			Italy	243	EU
Koper	Slovenia	45.546527777778	13.729444444444	47539	Ferrara	44.835297	11.619865	132445		Italy	183	EU
Koper	Slovenia	45.546527777778	13.729444444444	47539	Muggia	45.6	13.766666666667			Italy	7	EU
Izola	Slovenia	45.534444444444	13.6675		Szentgotthárd	46.9525	16.273611111111	8867		Hungary	255	EU
Ljubljana	Slovenia	46.05	14.516666666667	287000	Karlstad Municipality	59.383333333333	13.533333333333			Sweden	1484	EU
Ljubljana	Slovenia	46.05	14.516666666667	287000	Brussels-Capital Region	50.85	4.35	1183545		Belgium	919	EU
Zagorje ob Savi	Slovenia	46.134166666667	14.994166666667		Aleksinac	43.538333333333	21.704722222222			Serbia	602	Non-EU
Ljubljana	Slovenia	46.05	14.516666666667	287000	Mardin	37.316666666667	40.737777777778			Turkey	2370	Non-EU
Ptuj	Slovenia	46.418611111111	15.871388888889		Aranđelovac	44.304166666667	20.556111111111			Serbia	435	Non-EU
Škofja Loka	Slovenia	46.166666666667	14.3		Smederevska Palanka	44.3655	20.958666666667			Serbia	558	Non-EU
Ljubljana	Slovenia	46.05	14.516666666667	287000	Tbilisi	41.716666666667	44.783333333333	1082400		Georgia	2457	Non-EU
Ljubljana	Slovenia	46.05	14.516666666667	287000	Chengdu	30.663611111111	104.06666666667			People's Republic of China	7580	Non-EU
Škofja Loka	Slovenia	46.166666666667	14.3		Rock Springs	41.585	-109.22138888889	23036		United States of America	8772	Non-EU
Ljubljana	Slovenia	46.05	14.516666666667	287000	Astrakhan	46.333333333333	48.016666666667	531719		Russia	2559	Non-EU
Ljubljana	Slovenia	46.05	14.516666666667	287000	Sarajevo	43.866666666667	18.416666666667	275524		Bosnia and Herzegovina	391	Non-EU
Nova Gorica	Slovenia	45.966666666667	13.65	13852	Oğuz	41.070833333333	47.458333333333			Azerbaijan	2758	Non-EU
Novo Mesto	Slovenia	45.798055555556	15.162777777778	23341	Herceg Novi	42.453055555556	18.5375			Montenegro	459	Non-EU
Izola	Slovenia	45.534444444444	13.6675		Djibouti	11.595	43.148055555556	623891		Djibouti	4692	Non-EU
Kranj	Slovenia	46.233333333333	14.366666666667		Banja Luka	44.766666666667	17.183333333333	199191		Bosnia and Herzegovina	273	Non-EU
Piran	Slovenia	45.526111111111	13.570277777778	17491	Indianapolis	39.767777777778	-86.158055555556	853173		United States of America	7624	Non-EU
Novo Mesto	Slovenia	45.798055555556	15.162777777778	23341	Leskovac	43	21.95			Serbia	622	Non-EU
Maribor	Slovenia	46.55	15.633333333333	112325	Saint Petersburg	59.95	30.316666666667	5281579		Russia	1773	Non-EU
Celje	Slovenia	46.235833333333	15.2675		Cherepovets	59.133333333333	37.916666666667	318536		Russia	2075	Non-EU
Škofja Loka	Slovenia	46.166666666667	14.3		Meerssen	50.8858	5.7519	19046		Netherlands	819	Non-EU
Nova Gorica	Slovenia	45.966666666667	13.65	13852	Aleksandrovac	43.455277777778	21.051388888889			Serbia	648	Non-EU
Slovenska Bistrica	Slovenia	46.389722222222	15.570277777778		Aksaray	38.366666666667	34.033333333333	195990		Turkey	1753	Non-EU
Ljubljana	Slovenia	46.05	14.516666666667	287000	Moscow	55.755833333333	37.617777777778	12380664		Russia	1932	Non-EU
Novo Mesto	Slovenia	45.798055555556	15.162777777778	23341	Bihać	44.816666666667	15.866666666667	43007		Bosnia and Herzegovina	122	Non-EU
Kranj	Slovenia	46.233333333333	14.366666666667		Herceg Novi	42.453055555556	18.5375			Montenegro	535	Non-EU
Piran	Slovenia	45.526111111111	13.570277777778	17491	Bjugn	63.806666666667	9.8980555555556	4779		Norway	2045	Non-EU
Koper	Slovenia	45.546527777778	13.729444444444	47539	Jiujiang	29.738056	115.987222			People's Republic of China	8561	Non-EU
Kamnik	Slovenia	46.225833333333	14.611944444444		Gendringen	51.866666666667	6.3833333333333			Netherlands	867	Non-EU
Novo Mesto	Slovenia	45.798055555556	15.162777777778	23341	Vršac	45.120555555556	21.298611111111	36623		Serbia	484	Non-EU
