origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Kołobrzeg	Poland	54.166666666667	15.566666666667	46716	Landskrona	55.866666666667	12.833333333333	30499	Sweden	257	EU
Kraków	Poland	50.066666666667	19.95	761900	Seville	37.383333333333	-5.9833333333333	690566	Spain	2496	EU
Łobez	Poland	53.633333333333	15.616666666667		Svalöv	55.916666666667	13.116666666667	3633	Sweden	300	EU
Kamień Pomorski	Poland	53.969722222222	14.785833333333		Porvoo	60.393055555556	25.663888888889	49928	Finland	967	EU
Poznań	Poland	52.4	16.916666666667	544612	Jyväskylä	62.233333333333	25.733333333333	137368	Finland	1212	EU
Konin	Poland	52.216666666667	18.266666666667		Sundsvall	62.390833333333	17.306944444444	57606	Sweden	1133	EU
Kielce	Poland	50.8725	20.631944444444	191605	Sandviken	60.621944444444	16.776388888889		Sweden	1110	EU
Chojna	Poland	52.966666666667	14.416666666667		Oxelösund	58.666666666667	17.116666666667	15085	Sweden	656	EU
Radom	Poland	51.403611111111	21.156666666667	219703	Talavera de la Reina	39.966666666667	-4.8333333333333	84119	Spain	2367	EU
Gmina Raszków	Poland	51.716666666667	17.733333333333		Palata	41.883333333333	14.783333333333		Italy	1115	EU
Piaseczno	Poland	52.066666666667	21.016666666667		Guadix	37.2995522	-3.1371246	18796	Spain	2497	EU
Słupsk	Poland	54.466666666667	17.033333333333		Vordingborg	55.008333333333	11.910277777778	11747	Denmark	334	EU
Dzierzgoń	Poland	53.923333333333	19.351388888889		Finspång	58.7	15.8	16181	Sweden	574	EU
Świnoujście	Poland	53.916666666667	14.25		Ystad Municipality	55.416666666667	13.833333333333		Sweden	169	EU
Białogard	Poland	54	15.983333333333	24570	Gnosjö	57.366666666667	13.733333333333	2728	Sweden	400	EU
Gniezno	Poland	52.533333333333	17.6		Falkenberg Municipality	56.916666666667	12.5		Sweden	587	EU
Malbork	Poland	54.033333333333	19.05	38895	Sölvesborg Municipality	56.05	14.583333333333		Sweden	362	EU
Brodnica	Poland	53.25	19.4		Kristinehamn Municipality	59.3	14.116666666667		Sweden	747	EU
Toruń	Poland	53.016666666667	18.616666666667	206765	Pamplona	42.816666666667	-1.65	201311	Spain	1878	EU
Kamień Pomorski	Poland	53.969722222222	14.785833333333		Bromölla	56.075	14.466666666667	7595	Sweden	235	EU
Nysa	Poland	50.471388888889	17.333888888889	46841	Marsala	37.799444444444	12.434444444444	83205	Italy	1461	EU
Gdynia	Poland	54.5	18.533333333333	247672	Kotka	60.466666666667	26.945833333333	54319	Finland	831	EU
