origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	age	destination_countryLabel	dist	eu
Varberg Municipality	Denmark	57.1	12.25		Haderslev Municipality	55.25	9.5	56029		Denmark	267	EU
Karlskoga Municipality	Denmark	59.325	14.525		Aalborg	57.05	9.9166666666667	112194		Denmark	370	EU
Höör Municipality	Denmark	55.933333333333	13.55	15970	Stevns Municipality	55.333333333333	12.316666666667	22260		Denmark	102	EU
Älvsbyn Municipality	Denmark	65.683333333333	21.016666666667		Haapavesi	64.1375	25.366666666667	7167		Finland	267	EU
Gothenburg Municipality	Denmark	57.7	11.933333333333	984761	Aarhus	56.15	10.216666666667	264716		Denmark	201	EU
Oxelösund	Denmark	58.666666666667	17.116666666667	15085	Niederanven	49.651388888889	6.2555555555556	5737		Luxembourg	1223	EU
Lidköping Municipality	Denmark	58.5	13.183333333333		Skanderborg	56.033333333333	9.9333333333333	18659		Denmark	337	EU
Bollnäs Municipality	Denmark	61.35	16.4		Nykøbing Mors	56.7981	8.8622			Denmark	664	EU
Lysekil Municipality	Denmark	58.283333333333	11.433333333333		Hirtshals	57.59	9.96			Denmark	116	EU
Gävle Municipality	Denmark	60.666666666667	17.166666666667		Næstved	55.23333333	11.76666667			Denmark	682	EU
Enköping Municipality	Denmark	59.635555555556	17.076388888889	40920	Esbjerg Municipality	55.46666668	8.45000001	115748		Denmark	692	EU
Simrishamn Municipality	Denmark	55.55	14.35		Bornholm	55.125	14.916666666667			Denmark	59	EU
Trollhättan	Denmark	58.2834894	12.2858206	48573	Hjørring Municipality	57.466666666667	9.9833333333333	65411		Denmark	164	EU
Ragunda Municipality	Denmark	63.1	16.35		Broby Municipality	55.21972222	10.2625			Denmark	941	EU
Munkedal Municipality	Denmark	58.483333333333	11.683333333333		Karup Municipality	56.3075	9.1653			Denmark	285	EU
Uppsala Municipality	Denmark	59.866666666667	17.633333333333	206039	Frederiksberg Municipality	55.677777777778	12.533333333333	104481		Denmark	555	EU
Lidköping Municipality	Denmark	58.5	13.183333333333		Skanderborg	56.0458	9.92806	18659		Denmark	337	EU
Västervik Municipality	Denmark	57.75	16.633333333333		Tønder Municipality	54.933333333333	8.9	38010		Denmark	570	EU
Botkyrka Municipality	Denmark	59.2	17.833333333333	88391	Brøndby Municipality	55.654722222222	12.416388888889	35322		Denmark	510	EU
Oxelösund	Denmark	58.666666666667	17.116666666667	15085	Holstebro	56.366666666667	8.6166666666667	35392		Denmark	568	EU
Eksjö Municipality	Denmark	57.666666666667	14.966666666667	16576	Ærø Municipality	54.8833	10.3333	6290		Denmark	421	EU
Mölndal	Denmark	57.654166666667	12.013888888889	37233	Albertslund	55.6597	12.3617			Denmark	223	EU
Alingsås Municipality	Denmark	57.933333333333	12.533333333333		Tårnby Municipality	55.633333333333	12.6	42860		Denmark	256	EU
Västerås Municipality	Denmark	59.616666666667	16.533333333333		Randers	56.456944444444	10.039166666667	61163		Denmark	519	EU
Mjölby Municipality	Denmark	58.325	15.130555555556	26384	Slangerup Municipality	55.8456	12.1703			Denmark	329	EU
Hofors Municipality	Denmark	60.55	16.283333333333		Fladså	55.200555555556	11.833055555556			Denmark	650	EU
Oxelösund	Denmark	58.666666666667	17.116666666667	15085	Kőszeg	47.381666666667	16.551944444444	11702		Hungary	1255	EU
